XCoord;YCoord;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
382582,42338222;6567972,98233734;126;6418-6419;DEL;MM;ML
385500,34772254;6566652,70065248;126;6418-7192;DEL;ML;TJ
382510,56843336;6582333,91557113;126;6367-6367;NIV;#N/A;K8
352037,42560230;6577957,55932146;126;6359-6359;NIV;#N/A;K0
351756,23763168;6579392,86752124;126;6358-6359;FIX;K1;K0
348981,97080762;6583490,56629099;126;6196-6358;DEL;K0;GM
358665,13550182;6554832,03903441;126;6451-6451;NIV;#N/A;NI
359899,05899735;6556197,10046759;126;6437-6451;FIX;NI;M4
361711,88494065;6557686,19888327;126;6436-6437;DEL;M4;M3
365029,27201976;6559872,82755385;126;6399-6436;FIX;M3;L3
366970,84252399;6561575,03833384;126;6399-6400;DEL;L3;L4
367798,14384261;6562283,41799947;126;6400-6464;DEL;L4;NV
369015,49188103;6562121,78164319;126;6463-6464;FIX;NV;NU
368972,32240967;6560263,04100593;126;6463-6465;FIX;NU;NW
369469,58052028;6559324,29937957;126;6465-6466;FIX;NW;NX
354190,40070108;6554323,92929003;126;6445-6445;NIV;#N/A;NC
351991,16576669;6557011,00637627;126;6444-6445;FIX;NC;NB
352651,53796930;6558263,96590952;126;6433-6444;FIX;NB;M0
354108,26845764;6559578,99751528;126;6432-6433;FIX;M0;MZ
356471,41092928;6561038,70313259;126;6431-6432;DEL;MZ;MY
351995,93775566;6565228,54528877;126;6382-6431;DEL;MY;LM
348102,90646641;6568619,26394646;126;6382-6383;FIX;LM;LN
347814,26143855;6563957,44730957;126;6383-6434;DEL;LN;M1
347769,77939594;6558035,94957182;126;6434-6443;FIX;M1;NA
347464,06791837;6556566,79404443;126;6441-6443;FIX;NA;M8
346067,01454539;6557740,42508186;126;6441-6442;DEL;M8;M9
345252,40776663;6560737,89532725;126;6428-6442;FIX;M9;MV
342665,92944990;6560640,59185245;126;6428-6429;FIX;MV;MW
355053,33121078;6553042,24068774;126;6502-6502;NIV;#N/A;OX
353839,14363175;6552565,94905722;126;6500-6502;FIX;OX;OV
349700,60838585;6551713,40586745;126;6447-6500;DEL;OV;NE
345532,54079311;6550383,06878841;126;6447-6448;DEL;NE;NF
341124,30630619;6548959,31330607;126;6448-6449;DEL;NF;NG
374413,48716413;6542702,42456262;126;6536-6537;FIX;PU;PT
377162,08726570;6544728,95787759;126;6537-6543;FIX;PU;P0
379223,46147240;6544883,12504560;126;6541-6543;FIX;P0;PY
380854,40616258;6543662,30263771;126;6540-6541;FIX;PY;PX
381386,57389415;6545701,77157347;126;6539-6540;FIX;PX;PW
381485,05177199;6547760,15771446;126;6529-6539;FIX;PW;PM
379197,03237687;6548854,18601816;126;6529-6534;FIX;PM;PR
363604,98935480;6558316,60075963;126;6452-6452;NIV;#N/A;NJ
370096,59648239;6571638,99323570;126;6393-6393;NIV;#N/A;LW
367880,60021369;6572127,13065709;126;6392-6393;FIX;LX;LW
366663,10354873;6570880,23179697;126;6392-6402;FIX;LW;L6
364247,99979227;6569019,08708740;126;6386-6402;DEL;L6;LQ
362191,82734703;6571521,42418897;126;6386-6388;DEL;LQ;LS
361142,76516175;6574469,95181569;126;6385-6388;DEL;LS;LP
360445,59250172;6575943,04537319;126;6364-6385;DEL;LP;K6
359697,81297840;6577652,95191043;126;6364-6365;DEL;K6;K7
362269,22181156;6573286,61727630;126;6387-6387;NIV;LQ;#N/A
364212,01853741;6572922,13304918;126;6387-6391;DEL;LR;LV
368373,95397112;6575242,16472559;126;6361-6362;FIX;K4;K3
