XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
349363,45141821;6551637,92680541;1330;0; ;NEW;0E;23
318970,35156019;6625222,33085244;1331;0; ;NEW;T0;25
319066,80323843;6625074,70141566;1332;0; ;NEW;Z2;24
319655,38531833;6625618,11565621;1333;0; ;NEW;24;25
321870,18085123;6624452,63908289;1334;0; ;NEW;24;26
326829,48373332;6623776,79914756;1335;0; ;NEW;26;AE
325794,63221167;6625093,42439064;1336;0; ;NEW;AF;26
324105,70187079;6622835,99766981;1337;0; ;NEW;26;AA
331279,47332796;6623103,18558547;1338;0; ;NEW;AD;AE
326331,57093770;6627082,44784931;1339;0; ;NEW;29;3A
325677,12571873;6627480,22647259;1340;0; ;NEW;AG;3A
324469,30722584;6627408,58495740;1341;0; ;NEW;3A;3B
321449,04086777;6627012,23962782;1342;0; ;NEW;25;3B
324343,91504151;6629148,02668421;1343;0; ;NEW;3B;SD
326387,06164276;6627790,22842258;1344;0; ;NEW;AG;3C
327631,52467942;6628132,56617568;1345;0; ;NEW;AO;3D
328068,46444020;6628759,45014605;1346;0; ;NEW;3D;3E
329014,27998099;6629035,20759133;1347;0; ;NEW;3E;3F
329963,15981562;6629572,38454099;1348;0; ;NEW;3F;3G
329635,59389276;6630858,98593971;1349;0; ;NEW;3G;3H
327584,57313250;6630991,79960678;1350;0; ;NEW;SE;3H
327332,65589492;6629868,19761546;1351;0; ;NEW;SE;3E
326977,80458737;6629053,25341333;1352;0; ;NEW;SE;3D
328408,90030431;6627763,81497633;1353;0; ;NEW;AO;3I
329662,64823413;6628360,21709827;1354;0; ;NEW;3I;3F
331194,85032527;6627757,60014428;1355;0; ;NEW;AJ;3I
331468,00243444;6630744,32406833;1356;0; ;NEW;3G;AN
330725,81714718;6632425,56493476;1357;0; ;NEW;3H;3J
332648,07207714;6632178,80467849;1358;0; ;NEW;3J;AN
334926,24279876;6634730,79232144;1359;0; ;NEW;3J;AM
342581,95467648;6638936,05937264;1360;0; ;NEW;AQ;3K
343912,99584841;6637634,97488663;1361;0; ;NEW;3K;3L
344707,16709816;6635247,45297421;1362;0; ;NEW;3L;3M
